wind_speed_kmh,so2_ugm3,h2s_ugm3
0.0,547.0,256.0
0.0,537.0,246.0
0.0,508.0,229.0
5.56,476.0,214.0
6.06,560.0,170.0
0.0,0.0,0.0
5.56,560.0,161.0
5.56,552.0,158.0
5.56,573.0,161.0
5.56,589.0,175.0
6.55,581.0,172.0
6.55,573.0,172.0
6.55,555.0,170.0
6.55,531.0,165.0
6.55,518.0,158.0
6.55,508.0,151.0
7.54,524.0,152.0
7.54,544.0,170.0
8.03,568.0,177.0
8.03,597.0,201.0
6.55,649.0,219.0
6.55,699.0,236.0
9.01,736.0,243.0
9.01,751.0,239.0
8.52,723.0,217.0
8.52,683.0,210.0
7.05,681.0,204.0
7.05,704.0,207.0
7.05,717.0,217.0
7.05,725.0,250.0
5.56,744.0,273.0
5.56,749.0,282.0
6.06,759.0,292.0
6.06,778.0,296.0
6.06,791.0,285.0
6.06,757.0,270.0
7.54,665.0,226.0
6.55,626.0,214.0
6.55,615.0,201.0
7.54,615.0,197.0
7.54,607.0,184.0
6.55,579.0,177.0
5.56,555.0,180.0
6.06,702.0,224.0
6.06,733.0,239.0
5.56,796.0,285.0
5.56,872.0,316.0
6.06,937.0,334.0
6.06,979.0,338.0
8.03,1027.0,344.0
8.03,1034.0,319.0
7.54,1024.0,287.0
9.98,969.0,267.0
9.98,901.0,256.0
7.54,880.0,257.0
7.54,901.0,263.0
9.01,901.0,277.0
9.01,898.0,280.0
8.52,854.0,266.0
8.52,806.0,253.0
8.03,791.0,253.0
9.01,741.0,231.0
9.01,707.0,217.0
7.54,665.0,221.0
7.54,670.0,233.0
8.52,696.0,240.0
8.52,728.0,236.0
10.47,741.0,236.0
10.47,746.0,240.0
9.5,733.0,229.0
6.55,615.0,190.0
6.55,544.0,172.0
5.56,497.0,142.0
7.05,518.0,155.0
7.05,550.0,175.0
7.05,581.0,197.0
7.05,636.0,226.0
9.01,691.0,243.0
9.01,741.0,253.0
8.03,778.0,249.0
8.03,778.0,233.0
10.47,738.0,214.0
10.47,704.0,214.0
8.52,673.0,207.0
7.54,607.0,175.0
7.54,607.0,172.0
5.56,681.0,231.0
5.56,710.0,246.0
5.56,733.0,256.0
5.56,759.0,263.0
0.0,791.0,270.0
0.0,825.0,270.0
0.0,867.0,263.0
6.06,930.0,270.0
6.06,987.0,285.0
9.5,1027.0,319.0
9.5,1037.0,319.0
9.01,1061.0,322.0
9.01,1089.0,326.0
12.4,1087.0,322.0
12.4,1058.0,289.0
9.01,998.0,260.0
9.01,893.0,236.0
7.54,814.0,231.0
7.54,772.0,221.0
7.05,715.0,200.0
7.05,647.0,191.0
9.5,602.0,190.0
9.5,560.0,190.0
9.01,537.0,191.0
9.01,524.0,180.0
7.05,505.0,172.0
7.05,484.0,168.0
0.0,471.0,162.0
0.0,466.0,158.0
0.0,458.0,161.0
0.0,461.0,168.0
6.06,463.0,170.0
6.06,463.0,170.0
5.56,463.0,168.0
5.56,461.0,165.0
0.0,463.0,161.0
0.0,463.0,155.0
5.56,468.0,152.0
5.56,479.0,155.0
5.56,492.0,158.0
5.56,510.0,162.0
5.56,524.0,170.0
